date,market,period
2012-12-19,NL,0.323
2012-12-20,GB,0.296999
2012-12-20,US,0.091
2012-12-20,NL,0.26
2012-12-21,GB,0.226999
2012-12-21,US,0.080999
2012-12-21,NL,0.196
2012-12-24,GB,0.999999
2012-12-24,US,0.159999
2012-12-24,NL,0.969
2012-12-27,GB,0.323
2012-12-27,US,0.079
2012-12-27,NL,0.296999
2012-12-28,GB,0.406999
2012-12-28,US,0.09
2012-12-28,NL,0.379
2012-12-31,GB,0.552499
2012-12-31,US,0.079999
2012-12-31,NL,0.6825
2013-01-02,GB,0.296999
2013-01-02,US,0.088999
2013-01-02,NL,0.256
2013-01-03,GB,0.320999
2013-01-03,US,0.091
2013-01-03,NL,0.344
2013-01-04,GB,0.281
2013-01-04,US,0.1
2013-01-04,NL,0.296999
2013-01-07,GB,0.375
2013-01-07,US,0.109
2013-01-07,NL,0.299
2013-01-08,GB,0.319999
2013-01-08,US,0.100999
2013-01-08,NL,0.292
2013-01-09,GB,0.337
2013-01-09,US,0.109999
2013-01-09,NL,0.308999
2013-01-10,GB,0.214
2013-01-10,US,0.101
2013-01-10,NL,0.208999
2013-01-11,GB,0.297
2013-01-11,US,0.109999
2013-01-11,NL,0.281
2013-01-14,GB,0.313999
2013-01-14,US,0.11
2013-01-14,NL,0.262
2013-01-15,GB,0.293
2013-01-15,US,0.11
2013-01-15,NL,0.264999
2013-01-16,GB,0.297
2013-01-16,US,0.118999
2013-01-16,NL,0.28
2013-01-17,GB,0.283
2013-01-17,US,0.109
2013-01-17,NL,0.25
2013-01-18,GB,0.296999
2013-01-18,US,0.109999
2013-01-18,NL,0.246999
2013-01-22,GB,0.296999
2013-01-22,US,0.111
2013-01-22,NL,0.218999
2013-01-23,GB,0.339499
2013-01-23,US,0.119
2013-01-23,NL,0.281
2013-01-24,GB,0.296999
2013-01-24,US,0.109999
2013-01-24,NL,0.250999
2013-01-25,GB,0.296999
2013-01-25,US,0.101
2013-01-25,NL,0.203999
2013-01-28,GB,0.395999
2013-01-28,US,0.109999
2013-01-28,NL,0.280999
2013-01-29,GB,0.304999
2013-01-29,US,0.101
2013-01-29,NL,0.249999
2013-01-30,GB,0.216999
2013-01-30,US,0.108999
2013-01-30,NL,0.219
2013-01-31,GB,0.202999
2013-01-31,US,0.101
2013-01-31,NL,0.227999
2013-02-01,GB,0.203
2013-02-01,US,0.109999
2013-02-01,NL,0.219
2013-02-04,GB,0.203
2013-02-04,US,0.098999
2013-02-04,NL,0.172999
2013-02-05,GB,0.203
2013-02-05,US,0.109
2013-02-05,NL,0.207
2013-02-06,GB,0.229
2013-02-06,US,0.108999
2013-02-06,NL,0.201999
2013-02-07,GB,0.193999
2013-02-07,US,0.089999
2013-02-07,NL,0.154
2013-02-08,GB,0.252999
2013-02-08,US,0.119
2013-02-08,NL,0.264999
2013-02-11,GB,0.386999
2013-02-11,US,0.12
2013-02-11,NL,0.297
2013-02-12,GB,0.307
2013-02-12,US,0.128999
2013-02-12,NL,0.235999
2013-02-13,GB,0.205
2013-02-13,US,0.119
2013-02-13,NL,0.262999
2013-02-14,GB,0.245999
2013-02-14,US,0.111
2013-02-14,NL,0.218999
2013-02-15,GB,0.225499
2013-02-15,US,0.111
2013-02-15,NL,0.237999
2013-02-19,GB,0.204
2013-02-19,US,0.12
2013-02-19,NL,0.234999
2013-02-20,GB,0.252
2013-02-20,US,0.109999
2013-02-20,NL,0.247
2013-02-21,GB,0.185999
2013-02-21,US,0.109999
2013-02-21,NL,0.147999
2013-02-22,GB,0.218999
2013-02-22,US,0.129999
2013-02-22,NL,0.196999
2013-02-25,GB,0.148
2013-02-25,US,0.089999
2013-02-25,NL,0.125
2013-02-26,GB,0.141
2013-02-26,US,0.078999
2013-02-26,NL,0.133999
2013-02-27,GB,0.133
2013-02-27,US,0.1
2013-02-27,NL,0.146
2013-02-28,GB,0.188
2013-02-28,US,0.098999
2013-02-28,NL,0.193
2013-03-01,GB,0.155
2013-03-01,US,0.098999
2013-03-01,NL,0.151
2013-03-04,GB,0.167999
2013-03-04,US,0.109999
2013-03-04,NL,0.228999
2013-03-05,GB,0.122999
2013-03-05,US,0.101
2013-03-05,NL,0.184
2013-03-06,GB,0.133999
2013-03-06,US,0.11
2013-03-06,NL,0.228
2013-03-07,GB,0.186999
2013-03-07,US,0.118
2013-03-07,NL,0.203
2013-03-08,GB,0.186999
2013-03-08,US,0.111
2013-03-08,NL,0.171999
2013-03-11,GB,0.203
2013-03-11,US,0.144
2013-03-11,NL,0.267
2013-03-12,GB,0.176
2013-03-12,US,0.11
2013-03-12,NL,0.232
2013-03-13,GB,0.201999
2013-03-13,US,0.119999
2013-03-13,NL,0.264999
2013-03-14,GB,0.281
2013-03-14,US,0.119999
2013-03-14,NL,0.263
2013-03-15,GB,0.199
2013-03-15,US,0.111
2013-03-15,NL,0.219999
2013-03-18,GB,0.198999
2013-03-18,US,0.099999
2013-03-18,NL,0.188
2013-03-19,GB,0.186999
2013-03-19,US,0.075999
2013-03-19,NL,0.153999
2013-03-20,GB,0.186999
2013-03-20,US,0.1
2013-03-20,NL,0.163999
2013-03-21,GB,0.198
2013-03-21,US,0.090999
2013-03-21,NL,0.167999
2013-03-22,GB,0.188
2013-03-22,US,0.090999
2013-03-22,NL,0.156
2013-03-25,GB,0.157999
2013-03-25,US,0.08
2013-03-25,NL,0.149999
2013-03-26,GB,0.203
2013-03-26,US,0.098999
2013-03-26,NL,0.17
2013-03-27,GB,0.156
2013-03-27,US,0.09
2013-03-27,NL,0.148999
2013-03-28,GB,0.219
2013-03-28,US,0.098999
2013-03-28,NL,0.171
2013-04-02,GB,0.254999
2013-04-02,US,0.1
2013-04-02,NL,0.202999
2013-04-03,GB,0.188
2013-04-03,US,0.08
2013-04-03,NL,0.176
2013-04-04,GB,0.18
2013-04-04,US,0.09
2013-04-04,NL,0.136
2013-04-05,GB,0.180999
2013-04-05,US,0.09
2013-04-05,NL,0.155999
2013-04-08,GB,0.266
2013-04-08,US,0.1
2013-04-08,NL,0.216999
2013-04-09,GB,0.203
2013-04-09,US,0.1
2013-04-09,NL,0.218999
2013-04-10,GB,0.251999
2013-04-10,US,0.1
2013-04-10,NL,0.211
2013-04-11,GB,0.24
2013-04-11,US,0.108499
2013-04-11,NL,0.222
2013-04-12,GB,0.276
2013-04-12,US,0.100999
2013-04-12,NL,0.194
2013-04-15,GB,0.198999
2013-04-15,US,0.09
2013-04-15,NL,0.183999
2013-04-16,GB,0.253
2013-04-16,US,0.100999
2013-04-16,NL,0.21
2013-04-17,GB,0.182
2013-04-17,US,0.079999
2013-04-17,NL,0.123999
2013-04-18,GB,0.188
2013-04-18,US,0.089999
2013-04-18,NL,0.134
2013-04-19,GB,0.171999
2013-04-19,US,0.098999
2013-04-19,NL,0.144
2013-04-22,GB,0.171
2013-04-22,US,0.098999
2013-04-22,NL,0.167999
2013-04-23,GB,0.195
2013-04-23,US,0.08
2013-04-23,NL,0.158999
2013-04-24,GB,0.200999
2013-04-24,US,0.105999
2013-04-24,NL,0.170999
2013-04-25,GB,0.194999
2013-04-25,US,0.101
2013-04-25,NL,0.174
2013-04-26,GB,0.171999
2013-04-26,US,0.101999
2013-04-26,NL,0.171999
2013-04-29,GB,0.201
2013-04-29,US,0.111
2013-04-29,NL,0.234999
2013-04-30,GB,0.188
2013-04-30,US,0.101
2013-04-30,NL,0.197999
2013-05-02,GB,0.228
2013-05-02,US,0.1
2013-05-02,NL,0.186999
2013-05-03,GB,0.160999
2013-05-03,US,0.1
2013-05-03,NL,0.172999
2013-05-07,GB,0.204999
