date,market1,market2,lag
2007-07-20,US,GB,8000
2007-07-20,GB,US,-8000
2007-07-20,NL,GB,-23750
2007-07-20,GB,NL,23750
2007-07-20,NL,US,36250
2007-07-20,US,NL,-36250
2007-08-03,US,GB,14000
2007-08-03,GB,US,-14000
2007-08-03,NL,GB,12000
2007-08-03,GB,NL,-12000
2007-08-03,NL,US,6000
2007-08-03,US,NL,-6000
2007-08-17,US,GB,-4000
2007-08-17,GB,US,4000
2007-08-17,NL,GB,1
2007-08-17,GB,NL,-1
2007-08-17,NL,US,12000
2007-08-17,US,NL,-12000
2007-08-31,US,GB,34000
2007-08-31,GB,US,-34000
2007-08-31,NL,GB,-2000
2007-08-31,GB,NL,2000
2007-08-31,NL,US,10000
2007-08-31,US,NL,-10000
2007-09-14,US,GB,0
2007-09-14,GB,US,0
2007-09-14,NL,GB,-6000
2007-09-14,GB,NL,6000
2007-09-14,NL,US,6000
2007-09-14,US,NL,-6000
2007-09-28,US,GB,6000
2007-09-28,GB,US,-6000
2007-09-28,NL,GB,30250
2007-09-28,GB,NL,-30250
2007-09-28,NL,US,2000
2007-09-28,US,NL,-2000
2007-10-12,US,GB,48063
2007-10-12,GB,US,-48063
2007-10-12,NL,GB,6000
2007-10-12,GB,NL,-6000
2007-10-12,NL,US,2000
2007-10-12,US,NL,-2000
2007-10-26,US,GB,2001
2007-10-26,GB,US,-2001
2007-10-26,NL,GB,6000
2007-10-26,GB,NL,-6000
2007-10-26,NL,US,10000
2007-10-26,US,NL,-10000
2007-11-09,US,GB,10000
2007-11-09,GB,US,-10000
2007-11-09,NL,GB,26250
2007-11-09,GB,NL,-26250
2007-11-09,NL,US,0
2007-11-09,US,NL,0
2007-11-23,US,GB,8000
2007-11-23,GB,US,-8000
2007-11-23,NL,GB,4000
2007-11-23,GB,NL,-4000
2007-11-23,NL,US,4000
2007-11-23,US,NL,-4000
2007-12-07,US,GB,-8000
2007-12-07,GB,US,8000
2007-12-07,NL,GB,14000
2007-12-07,GB,NL,-14000
2007-12-07,NL,US,-8000
2007-12-07,US,NL,8000
2007-12-21,US,GB,-8000
2007-12-21,GB,US,8000
2007-12-21,NL,GB,10000
2007-12-21,GB,NL,-10000
2007-12-21,NL,US,44500
2007-12-21,US,NL,-44500
2008-01-08,US,GB,-2000
2008-01-08,GB,US,2000
2008-01-08,NL,GB,22001
2008-01-08,GB,NL,-22001
2008-01-08,NL,US,10000
2008-01-08,US,NL,-10000
2008-02-05,US,GB,0
2008-02-05,GB,US,0
2008-02-05,NL,GB,10000
2008-02-05,GB,NL,-10000
2008-02-05,NL,US,8000
2008-02-05,US,NL,-8000
2008-02-19,US,GB,10001
2008-02-19,GB,US,-10001
2008-02-19,NL,GB,24250
2008-02-19,GB,NL,-24250
2008-02-19,NL,US,14000
2008-02-19,US,NL,-14000
2008-03-04,US,GB,-16000
2008-03-04,GB,US,16000
2008-03-04,NL,GB,8000
2008-03-04,GB,NL,-8000
2008-03-04,NL,US,4000
2008-03-04,US,NL,-4000
2008-03-18,US,GB,24250
2008-03-18,GB,US,-24250
2008-03-18,NL,GB,8000
2008-03-18,GB,NL,-8000
2008-03-18,NL,US,2000
2008-03-18,US,NL,-2000
2008-04-02,US,GB,6000
2008-04-02,GB,US,-6000
2008-04-02,NL,GB,2000
2008-04-02,GB,NL,-2000
2008-04-02,NL,US,2000
2008-04-02,US,NL,-2000
2008-04-16,US,GB,18000
2008-04-16,GB,US,-18000
2008-04-16,NL,GB,12000
2008-04-16,GB,NL,-12000
2008-04-16,NL,US,6000
2008-04-16,US,NL,-6000
2008-04-30,US,GB,12000
2008-04-30,GB,US,-12000
2008-04-30,NL,GB,16000
2008-04-30,GB,NL,-16000
2008-04-30,NL,US,0
2008-04-30,US,NL,0
2008-05-14,US,GB,10000
2008-05-14,GB,US,-10000
2008-05-14,NL,GB,-8000
2008-05-14,GB,NL,8000
2008-05-14,NL,US,0
2008-05-14,US,NL,0
2008-05-28,US,GB,-18000
2008-05-28,GB,US,18000
2008-05-28,NL,GB,22000
2008-05-28,GB,NL,-22000
2008-05-28,NL,US,14000
2008-05-28,US,NL,-14000
2008-06-11,US,GB,14000
2008-06-11,GB,US,-14000
2008-06-11,NL,GB,4000
2008-06-11,GB,NL,-4000
2008-06-11,NL,US,16000
2008-06-11,US,NL,-16000
2008-06-25,US,GB,0
2008-06-25,GB,US,0
2008-06-25,NL,GB,2000
2008-06-25,GB,NL,-2000
2008-06-25,NL,US,6000
2008-06-25,US,NL,-6000
2008-07-09,US,GB,-4000
2008-07-09,GB,US,4000
2008-07-09,NL,GB,4000
2008-07-09,GB,NL,-4000
2008-07-09,NL,US,2000
2008-07-09,US,NL,-2000
2008-07-23,US,GB,0
2008-07-23,GB,US,0
2008-07-23,NL,GB,18000
2008-07-23,GB,NL,-18000
2008-07-23,NL,US,0
2008-07-23,US,NL,0
2008-08-06,US,GB,-6000
2008-08-06,GB,US,6000
2008-08-06,NL,GB,2000
2008-08-06,GB,NL,-2000
2008-08-06,NL,US,-2000
2008-08-06,US,NL,2000
2008-08-20,US,GB,0
2008-08-20,GB,US,0
2008-08-20,NL,GB,8000
2008-08-20,GB,NL,-8000
2008-08-20,NL,US,0
2008-08-20,US,NL,0
2008-09-03,US,GB,2001
2008-09-03,GB,US,-2001
2008-09-03,NL,GB,18000
2008-09-03,GB,NL,-18000
2008-09-03,NL,US,-12000
2008-09-03,US,NL,12000
2008-09-17,US,GB,0
2008-09-17,GB,US,0
2008-09-17,NL,GB,2000
